Time:10525,AccPitch:113.75, AccRoll:103.81
Time:10531,AccPitch:113.87, AccRoll:103.44
Time:10537,AccPitch:115.73, AccRoll:104.67
Time:10543,AccPitch:112.94, AccRoll:103.20
Time:10549,AccPitch:113.38, AccRoll:103.61
Time:10555,AccPitch:112.44, AccRoll:102.86
Time:10561,AccPitch:113.97, AccRoll:103.82
Time:10567,AccPitch:114.27, AccRoll:103.90
Time:10573,AccPitch:112.71, AccRoll:103.20
Time:10579,AccPitch:114.21, AccRoll:103.59
Time:10585,AccPitch:113.51, AccRoll:103.64
Time:10591,AccPitch:112.47, AccRoll:102.71
Time:10597,AccPitch:111.75, AccRoll:102.45
Time:10603,AccPitch:112.32, AccRoll:102.62
