Time:9386,AccPitch:128.27, AccRoll:122.08
Time:9392,AccPitch:120.39, AccRoll:111.00
Time:9398,AccPitch:116.23, AccRoll:104.52
Time:9404,AccPitch:128.23, AccRoll:110.79
Time:9409,AccPitch:098.15, AccRoll:093.29
Time:9415,AccPitch:117.48, AccRoll:098.76
Time:9421,AccPitch:117.11, AccRoll:098.86
Time:9427,AccPitch:114.45, AccRoll:097.50
Time:9433,AccPitch:126.81, AccRoll:101.88
Time:9439,AccPitch:118.56, AccRoll:102.64
Time:9445,AccPitch:126.85, AccRoll:108.36
Time:9451,AccPitch:120.51, AccRoll:106.70
Time:9457,AccPitch:120.24, AccRoll:106.98
Time:9463,AccPitch:115.05, AccRoll:104.69
Time:9468,AccPitch:107.39, AccRoll:100.85
Time:9474,AccPitch:108.26, AccRoll:101.58
Time:9480,AccPitch:104.86, AccRoll:099.91
Time:9486,AccPitch:086.57, AccRoll:087.65
Time:9492,AccPitch:093.37, AccRoll:092.25
Time:9498,AccPitch:099.99, AccRoll:097.29
Time:9504,AccPitch:110.19, AccRoll:104.20
Time:9510,AccPitch:102.55, AccRoll:099.03
Time:9516,AccPitch:107.60, AccRoll:103.02
Time:9521,AccPitch:110.12, AccRoll:105.21
Time:9527,AccPitch:106.31, AccRoll:101.01
Time:9533,AccPitch:107.96, AccRoll:102.18
Time:9539,AccPitch:106.83, AccRoll:101.30
Time:9545,AccPitch:104.35, AccRoll:099.50
Time:9551,AccPitch:103.84, AccRoll:099.47
Time:9557,AccPitch:103.31, AccRoll:098.77
Time:9563,AccPitch:100.21, AccRoll:096.56
Time:9569,AccPitch:104.13, AccRoll:099.72
Time:9575,AccPitch:102.72, AccRoll:098.75
Time:9580,AccPitch:106.34, AccRoll:101.43
Time:9586,AccPitch:109.06, AccRoll:103.90
Time:9592,AccPitch:108.83, AccRoll:102.22
Time:9598,AccPitch:111.15, AccRoll:103.11
Time:9604,AccPitch:111.92, AccRoll:102.50
Time:9610,AccPitch:112.60, AccRoll:102.12
Time:9616,AccPitch:112.70, AccRoll:101.87
Time:9622,AccPitch:111.14, AccRoll:100.99
Time:9628,AccPitch:113.39, AccRoll:102.16
Time:9633,AccPitch:113.95, AccRoll:102.52
Time:9639,AccPitch:113.37, AccRoll:103.81
Time:9645,AccPitch:113.04, AccRoll:104.39
Time:9651,AccPitch:112.64, AccRoll:104.27
Time:9657,AccPitch:111.36, AccRoll:102.79
Time:9663,AccPitch:109.35, AccRoll:101.17
Time:9669,AccPitch:108.06, AccRoll:100.24
Time:9675,AccPitch:107.38, AccRoll:099.89
Time:9681,AccPitch:105.52, AccRoll:099.41
Time:9687,AccPitch:106.06, AccRoll:100.02
Time:9692,AccPitch:108.16, AccRoll:101.26
Time:9698,AccPitch:105.48, AccRoll:100.34
Time:9704,AccPitch:106.78, AccRoll:101.58
Time:9710,AccPitch:107.30, AccRoll:101.60
Time:9716,AccPitch:106.65, AccRoll:100.91
Time:9722,AccPitch:107.15, AccRoll:100.94
Time:9728,AccPitch:105.19, AccRoll:099.66
Time:9734,AccPitch:106.15, AccRoll:099.65
Time:9740,AccPitch:106.17, AccRoll:099.78
Time:9745,AccPitch:108.21, AccRoll:100.86
Time:9751,AccPitch:109.13, AccRoll:102.06
Time:9757,AccPitch:108.27, AccRoll:101.32
Time:9763,AccPitch:109.02, AccRoll:102.23
Time:9769,AccPitch:110.70, AccRoll:102.92
Time:9775,AccPitch:109.74, AccRoll:101.74
Time:9781,AccPitch:109.15, AccRoll:101.55
Time:9787,AccPitch:108.62, AccRoll:101.15
Time:9793,AccPitch:108.71, AccRoll:101.20
Time:9798,AccPitch:108.93, AccRoll:101.54
Time:9804,AccPitch:109.42, AccRoll:101.69
